gate length,Theta,Phi,dt,combination,total time,computing time
5,0.500007004,3.024376311,2.6,"[1, 1, 3, 3, 2]",13,10.48134303
4,0.500017507,1.057513235,2.6,"[4, 4, 1, 1]",10.4,0.883197546
5,0.500047721,2.200288675,2.6,"[4, 1, 1, 3, 3]",13,1.332297802
4,0.500084871,3.653334859,2.6,"[3, 3, 2, 2]",10.4,10.44133306
4,0.500147544,4.056402601,2.6,"[3, 3, 2, 2]",10.4,0.89620018
5,0.500148252,2.93361172,2.6,"[1, 1, 3, 3, 2]",13,10.49933338
5,0.500151791,1.335590638,2.6,"[4, 4, 1, 1, 3]",13,10.51034927
5,0.500171867,6.031739636,2.6,"[2, 2, 4, 4, 1]",13,10.54334521
5,0.500176186,2.929604727,2.6,"[1, 1, 3, 3, 2]",13,10.53335428
4,0.500185636,5.742955066,2.6,"[2, 2, 4, 4]",10.4,0.895200491
5,0.500190564,2.9199169,2.6,"[1, 1, 3, 3, 2]",13,10.49934626
4,0.500194146,4.003625518,2.6,"[3, 3, 2, 2]",10.4,0.896199942
4,0.500215695,0.080382396,2.6,"[2, 4, 4, 1]",10.4,0.690152884
4,0.500226174,3.487027962,2.6,"[1, 3, 3, 2]",10.4,0.885197401
4,0.500233392,4.855186947,2.6,"[3, 2, 2, 4]",10.4,0.697156191
4,0.500238887,2.281935011,2.6,"[1, 1, 3, 3]",10.4,0.873193741
4,0.500241062,4.016597442,2.6,"[3, 3, 2, 2]",10.4,0.896199226
4,0.500243635,1.749304352,2.6,"[4, 1, 1, 3]",10.4,0.68215251
4,0.500246335,0.563395549,2.6,"[4, 4, 1, 1]",10.4,10.49534583
5,0.500268724,3.03313431,2.6,"[1, 1, 3, 3, 2]",13,10.45033526
5,0.500301942,3.620264745,2.6,"[1, 1, 3, 3, 2]",13,2.011450052
4,0.500304045,3.302047898,2.6,"[1, 3, 3, 2]",10.4,0.689153671
5,0.500310347,5.382245002,2.6,"[3, 2, 2, 4, 4]",13,1.360303402
4,0.500314089,2.646635891,2.6,"[1, 1, 3, 3]",10.4,0.898200274
4,0.500321066,4.007992948,2.6,"[3, 3, 2, 2]",10.4,0.899201155
4,0.50032902,3.972604784,2.6,"[3, 3, 2, 2]",10.4,0.890198469
4,0.500335057,5.286036563,2.6,"[2, 2, 4, 4]",10.4,10.54335713
5,0.500361801,6.011125133,2.6,"[2, 2, 4, 4, 1]",13,10.58036828
5,0.500379858,4.594173556,2.6,"[3, 3, 2, 2, 4]",13,10.50834846
5,0.500384672,0.651646043,2.6,"[2, 4, 4, 1, 1]",13,1.336298466
4,0.500389126,4.222890478,2.6,"[3, 3, 2, 2]",10.4,0.900202036
5,0.50040939,4.428375694,2.6,"[3, 3, 2, 2, 4]",13,10.54135633
5,0.500437413,1.247551312,2.6,"[4, 4, 1, 1, 3]",13,10.60236931
4,0.500472088,3.664803151,2.6,"[3, 3, 2, 2]",10.4,10.41532803
5,0.500482366,3.785923028,2.6,"[1, 3, 3, 2, 2]",13,1.339297056
4,0.500482529,3.299579561,2.6,"[1, 3, 3, 2]",10.4,0.68915391
4,0.500491805,2.119758936,2.6,"[1, 1, 3, 3]",10.4,10.44933581
5,0.500503013,1.972708866,2.6,"[4, 4, 1, 1, 3]",13,1.982443094
5,0.500522314,5.357161464,2.6,"[3, 2, 2, 4, 4]",13,1.345300674
5,0.500523867,6.061073823,2.6,"[2, 2, 4, 4, 1]",13,10.50334692
4,0.500526931,0.76376959,2.6,"[4, 4, 1, 1]",10.4,0.869194269
4,0.500528906,3.429456846,2.6,"[1, 3, 3, 2]",10.4,0.689152718
4,0.500537481,0.994314794,2.6,"[4, 4, 1, 1]",10.4,0.877194881
4,0.500552915,4.997325691,2.6,"[3, 2, 2, 4]",10.4,0.706158161
4,0.500555218,2.563858482,2.6,"[1, 1, 3, 3]",10.4,0.892199039
4,0.500566335,4.934966302,2.6,"[3, 2, 2, 4]",10.4,0.698155642
4,0.500569071,5.603170836,2.6,"[2, 2, 4, 4]",10.4,0.892199278
4,0.500590041,4.760191571,2.6,"[3, 2, 2, 4]",10.4,0.695154905
4,0.500606192,3.480992728,2.6,"[1, 3, 3, 2]",10.4,0.868193865
4,0.500606317,0.589966829,2.6,"[4, 4, 1, 1]",10.4,10.50833631
4,0.500621136,4.31210122,2.6,"[3, 2, 2, 2]",10.4,12.40177178
4,0.500621959,0.554631994,2.6,"[4, 4, 1, 1]",10.4,10.45633698
4,0.500648376,2.675214589,2.6,"[1, 1, 3, 3]",10.4,0.880196095
4,0.500696564,1.024068262,2.6,"[4, 4, 1, 1]",10.4,0.883197308
4,0.500712402,3.399034365,2.6,"[1, 3, 3, 2]",10.4,0.694154739
5,0.500714111,0.611941731,2.6,"[2, 4, 4, 1, 1]",13,1.327294588
4,0.500728684,1.646124195,2.6,"[4, 1, 1, 3]",10.4,0.689153433
5,0.500736337,0.637149847,2.6,"[2, 4, 4, 1, 1]",13,1.333298206
5,0.500746681,1.939520471,2.6,"[4, 4, 1, 1, 3]",13,1.984443665
4,0.500764589,4.208017744,2.6,"[3, 3, 2, 2]",10.4,0.894200563
4,0.500789145,0.822327907,2.6,"[4, 4, 1, 1]",10.4,0.870194197
5,0.500797212,1.984415547,2.6,"[4, 4, 1, 1, 3]",13,1.978440046
4,0.500803757,2.163215181,2.6,"[1, 1, 3, 3]",10.4,10.4893446
4,0.500806662,3.449589477,2.6,"[1, 3, 3, 2]",10.4,0.878195047
4,0.500828091,3.416996933,2.6,"[1, 3, 3, 2]",10.4,0.686152458
5,0.500832399,0.653913095,2.6,"[2, 4, 4, 1, 1]",13,1.344300508
4,0.500850596,3.929774216,2.6,"[3, 3, 2, 2]",10.4,0.872195244
4,0.500851785,4.308200626,2.6,"[3, 2, 2, 2]",10.4,12.4297781
4,0.50086354,6.272662215,2.6,"[2, 4, 4, 1]",10.4,0.517115593
4,0.500890432,4.070596358,2.6,"[3, 3, 2, 2]",10.4,0.904202223
4,0.50089151,3.379041179,2.6,"[1, 3, 3, 2]",10.4,0.69015336
5,0.50094134,0.633918041,2.6,"[2, 4, 4, 1, 1]",13,1.334298611
4,0.500942112,4.018513887,2.6,"[3, 3, 2, 2]",10.4,0.893199444
5,0.500960192,5.119760371,2.6,"[3, 3, 2, 2, 4]",13,2.002447844
4,0.50100451,1.915049721,2.6,"[4, 1, 1, 3]",10.4,0.864192724
4,0.501020815,5.588169199,2.6,"[2, 2, 4, 4]",10.4,0.903200865
4,0.50102893,3.664218547,2.6,"[3, 3, 2, 2]",10.4,10.4363327
4,0.50103857,3.227037381,2.6,"[1, 3, 3, 2]",10.4,0.691154003
4,0.501074143,4.714460119,2.6,"[3, 2, 2, 4]",10.4,0.529117823
4,0.501088709,5.029283281,2.6,"[3, 2, 2, 4]",10.4,0.881196022
4,0.501102708,4.112652413,2.6,"[3, 3, 2, 2]",10.4,0.900200844
4,0.501110727,3.29316223,2.6,"[1, 3, 3, 2]",10.4,0.687154055
5,0.501131716,6.027000838,2.6,"[2, 2, 4, 4, 1]",13,10.57835245
4,0.501133303,4.151262375,2.6,"[3, 3, 2, 2]",10.4,0.891198635
4,0.501152635,0.800690443,2.6,"[4, 4, 1, 1]",10.4,0.878195286
5,0.501157116,0.440710813,2.6,"[2, 2, 4, 4, 1]",13,2.07146287
4,0.50117946,2.554418186,2.6,"[1, 1, 3, 3]",10.4,0.885197401
4,0.501180799,0.858323475,2.6,"[4, 4, 1, 1]",10.4,0.886198044
4,0.501230151,2.343267323,2.6,"[1, 1, 3, 3]",10.4,0.872194767
5,0.501240603,0.475222446,2.6,"[2, 2, 4, 4, 1]",13,1.994443178
5,0.501253152,2.935841356,2.6,"[1, 1, 3, 3, 2]",13,10.50634861
4,0.501298734,5.682437743,2.6,"[2, 2, 4, 4]",10.4,0.898200512
4,0.501314672,0.554163196,2.6,"[4, 4, 1, 1]",10.4,10.45233607
4,0.501323224,5.459147281,2.6,"[2, 2, 4, 4]",10.4,0.885197878
4,0.501335434,4.728307105,2.6,"[3, 2, 2, 4]",10.4,0.536119938
5,0.501336779,4.491064356,2.6,"[3, 3, 2, 2, 4]",13,10.52435255
5,0.501345399,3.749814946,2.6,"[1, 3, 3, 2, 2]",13,1.347301245
4,0.501355463,0.984353401,2.6,"[4, 4, 1, 1]",10.4,0.905201674
5,0.501397562,5.9502616,2.6,"[2, 2, 4, 4, 1]",13,10.61137176
4,0.501408776,4.169559549,2.6,"[3, 3, 2, 2]",10.4,0.909203291
4,0.501416441,4.175317248,2.6,"[3, 3, 2, 2]",10.4,0.900201082
4,0.501417163,0.568656522,2.6,"[4, 4, 1, 1]",10.4,10.53535461
5,0.501430284,1.247964199,2.6,"[4, 4, 1, 1, 3]",13,10.61837316
4,0.501432894,0.59498202,2.6,"[4, 4, 1, 1]",10.4,10.52533889
4,0.501435251,3.192531286,2.6,"[1, 3, 3, 2]",10.4,0.689153671
4,0.501453479,4.2325804,2.6,"[3, 3, 2, 2]",10.4,0.883196115
4,0.501460908,2.430234377,2.6,"[1, 1, 3, 3]",10.4,0.885197163
5,0.501471875,5.35148797,2.6,"[3, 2, 2, 4, 4]",13,1.354302645
4,0.501482734,4.980405698,2.6,"[3, 2, 2, 4]",10.4,0.712157488
4,0.501483775,4.845209762,2.6,"[3, 2, 2, 4]",10.4,0.696155787
4,0.501495084,5.233031427,2.6,"[2, 2, 4, 4]",10.4,10.44533491
4,0.501507795,4.940682785,2.6,"[3, 2, 2, 4]",10.4,0.702157021
4,0.501528802,5.828952668,2.6,"[2, 2, 4, 4]",10.4,0.88019681
5,0.501535124,6.16346495,2.6,"[2, 2, 4, 4, 1]",13,10.50334764
4,0.501545182,2.717766385,2.6,"[1, 1, 3, 3]",10.4,0.881196976
4,0.501550581,1.662637013,2.6,"[4, 1, 1, 3]",10.4,0.685152769
4,0.501551542,4.850204001,2.6,"[3, 2, 2, 4]",10.4,0.703155994
4,0.501553613,0.180042768,2.6,"[2, 4, 4, 1]",10.4,0.689153194
4,0.501569417,5.249429396,2.6,"[2, 2, 4, 4]",10.4,10.45933795
4,0.501601926,1.018297953,2.6,"[4, 4, 1, 1]",10.4,0.877196312
4,0.501602119,3.063381084,2.6,"[1, 3, 3, 2]",10.4,0.525117636
4,0.50161474,0.717185148,2.6,"[4, 4, 1, 1]",10.4,0.867192984
5,0.501618721,1.288810999,2.6,"[4, 4, 1, 1, 3]",13,10.57736397
